form	sentence_1	sentence_2	label
dress	Cyklister .. i perfekt dress: Styrthjelm, hvide og kortærmede bluser, sorte seler over kryds på ryggen og knælange sorte, skinnende shorts	Hva faen er det for et fancy dress at rende rundt i? Du ligner jo en hel bankfunktionær! -- Det er et sæt fra Brd. Andersens efterårskollektion	0
dressur	De unge på tredive og fyrre er .. helt med fremme indenfor dressur og ridebanespringning	Han prøvede at begynde dressuren på egen hånd, men hunden ville ikke dresseres	0
drift	radaren nøjes ikke med at se på isens drift	Mennesket styrer .. sig selv, men det påvirkes af drifter som sult, søvn, sex og så videre	0
drift	Kirkens Korshær står også for driften af 10 herberger	Meget af gårdens drift foregik automatisk	1
driftsliv	de moderlige opgaver var at forme og regulere barnets driftsliv, så det kunne overtage og varetage borgerskabets klasseinteresser	Folk strømmede til Erotica-messen i Forum. Spørgsmålet er så, om det har gjort vores driftsliv bedre	0
driftsøkonomi	han blev professor i driftsøkonomi ved Aarhus Universitet	Vi har store vanskeligheder med vor driftsøkonomi som følge af tyngende renter	0
drikkelig	Til gengæld er vinene .. drikkelige allerede efter ½-2 års lagring	goldt land, hvor jorden slår revner, og hvor der intet drikkeligt er	0
drikkeri	På denne arbejdsplads er drikkeri i arbejdstiden fyringsgrund	jeg skulle skjule drikkeriet for mine forældre og tog indmaden ud af en gammel radio, som jeg fyldte med øl	0
dristighed	Hendes sange var vovede, og hun fik publikum til at føle sig direkte inddraget i dristighederne	Ebbe lagde i sporten en dristighed for dagen, der ofte virkede noget chokerende på min mere forsigtige natur	0
drive	biogassen anvendes til at drive en motor, der laver strøm	Om formiddagen gik Ernst og drev rundt derhjemme og ventede på, at faderen skulle ringe	0
drive	Han .. var helt opkogt i hovedet og sveden drev ned ad hans pande og kinder	Spillegæld på 100.000 kroner drev københavner til postrøveri	0
drive	hans helbred blev så dårligt, at han for altid måtte opgive at drive landbrug	Sneen var faldet tæt i mange dage, store driver dækkede vejene	0
drivkraft	En leder skal helst føle sig usikker. Dette er drivkraften bag nytænkning og fornyelse	I de såkaldte oerlikonbusser var det et svinghjul, der leverede drivkraften	0
dronning	De fleste kvinder har lyst til at være ballets dronning for en aften	I spidsen for bi-samfundet står en større bi: dronningen	0
drop	Hans behandling består i blodfortyndende medicin, der indgives som drop gennem en nål i hånden	De førte den klassiske mixeddoublestil igennem med smash og drop	0
drukne	Engang druknede 21 fiskere fra Harboøre på en enkelt stormfuld nat	Efter begravelsen druknede vennerne sorgen i godt dansk øl -- helt i afdødes ånd	0
drys	Hvis du har kløe i hovedbunden, og hvidt drys fra håret -- så har du ikke skæl -- men tør hovedbund	For dem er det ingen selvmodsigelse, at tamilsk karry-kylling ikke indeholder et eneste drys karry	0
drys	Guld og glimmer, royalt rødt og et drys af engelsk landadel er de vigtigste ingredienser i denne nye charmerende blandingsstil	Ved morgenbordet vil Elsa have både drys og sukker på sin ymer	0
drysse	forskernes viden om, hvor mange fibre, der drysser for eksempel fra loftplader eller vægge, er lille	juletræerne stod og dryssede i baghaverne	0
drysse	Hvor skulle hun gå hen? Hun kunne ikke bare drysse rundt i gaderne indtil hun skulle på salonen	Forleden søndag kom du dryssende hjem langt ud på natten	1
dråbe	Pillerne, dråberne og fodfilen skal findes i påklædningsværelset og soveværelset	han forsikrede, at han ikke havde smagt en dråbe i tre-fire måneder	0
dråbe	Sveden løber ned over næsen og hænger i dråber ude på spidsen	Til andre tider vendte han tilbage til ideen igen og igen, indtil den sidste dråbe mening var vredet ud af den	0
drøm	du drømmer 4-6 gange i løbet af natten -- også selvom du ikke kan huske dine drømme	Katrine var iført en drøm af en balkjole. Lyserød silke, draperet med et brus af tyl i samme farve	0
drømmespil	unge Frederik Fetterlein blev med rent drømmespil manden, som reddede den danske tennisære	I 1992 debuterede Sartou som dramatiker på Rialto Teatret med det moderne drømmespil Legende	0
drøn	Hej Janne, dit dejlige drøn! Hvor var det dog lækkert at høre fra dig	Hyldesten skyldtes et drøn af en valgsejr, der sikrede Venstre en mandatfremgang fra fem til 13	0
drøne	biler, cykler og fodgængere på vej hjem fra arbejde drønede anonymt forbi ham	Sarah sov ikke. Tankerne drønede rundt i hovedet på hende	1
due	Skal du ikke have den hjelm af, min due? Det er da alt for varmt herinde	duerne kurrede i tagrenden lige udenfor	0
duel	Tordenskiold døde kun 30 år gammel -- ikke i et søslag, men i en duel	I bilklassen udviklede rallyet sig i år hurtigt til en duel mellem to team: Citroen og Mitsubishi	0
duet	Deres bidrag skal synges af en duet	Hans sang skal fremføres som en duet	0
dugge	Brillerne dugger. Det varer et øjeblik, før man igen kan kigge ud gennem glassene	hans kaffeånde duggede glasset let	0
dukke	han dukkede hovedet under den lave dørkarm og trådte ind i køkkenet	nogle gange, så sidder jeg og leger med dukker sammen med min lillesøster	0
dukkehus	Midt på gulvet stod dukkehuset. Det fine røde hus .. var en tro kopi af huset, de skulle flytte ud i	Karen bor i et lille dukkehus i Nordsjælland	0
dukketeater	Museet viser i dagene 13.--18. november dukketeater for voksne	Længst oppe .. stod et dukketeater, sammen med en kasse fuld af sjove Mester Jakel-dukker	0
dum	Det blev ofte en rigtig dum dag, når man kom skævt i gang fra morgenstunden	Han er ikke idiot, men han træffer dumme beslutninger	0
dumhed	Jyllands-Postens tegner fremstiller .. arbejdsløse som et æsel. Dyret, som er kendt for dumhed og stædighed	Man roser hellere sin vens dumheder end sin uvens kloge handlinger	0
dumpe	Jeg er fuld, sagde hun og lod sig dumpe ned på sengen	så snart vi dumpede det første læs ler, havde det effekt på vandindstrømningen i tunnelen	0
dumpekarakter	Regeringen får dumpekarakter hos vælgerne	da hun fik en dumpekarakter i latin, gik hun glip af sin plads på universitetet	0
dundre	kampvognene dundrer forbi nede under vinduerne	De store bashøjttalere dundrede og satte gulvet over hans hoved i svingninger	0
duo	I løbet af tre plader er gruppen blevet reduceret fra en trio til en duo	Den dansk-belgiske duo er kørt hele 16 omgange bagud	0
dusk	hun hentede en dusk tørrede urter i forrådshuset hvor de hang i buketter under loftet	Hendes mørke dusk så pragtfuld ud, og jeg stak prøvende et par fingre op i den varme kusse	0
dut	de indspillede i 1986 sangen På med dutten Danmark, der blev til i forbindelse med AIDS-kampagnen	svaret var optagettonens hurtige dut	0
dvale	Nogle dyr går i dvale for at overleve vinteren, andre gør det for at overleve en tørkeperiode	Når EF-formandsperioden er overstået, må regeringen komme ud af dvalen og forsøge at komme igennem med større resultater	0
dværg	Nordisk Gentofte producerer væksthormon til dværge via gensplejsede bakterier	I forhold til Interbank var Brøndby en finansiel dværg og ejede naturligvis overhovedet ikke i nærheden af 250 millioner kroner	0
dyb	vinduesrammen er klart markeret med en dyb marineblå	Jeg kan se ind i din sjæls dyb	0
dybde	russernes stolthed .. beskytter deres inderste sårbarhed, dybde og overdådige varme	Trods lille af omfang er der overraskende stor dybde og fylde i den engelske forfatters roman	1
dybde	Det bliver dybt tæt ved kysten og det går stejlt nedad til 17 meters dybde	løgene skal lægges i en dybde, der svarer til løgenes egen diameter gange to	1
dygtig	i mere end to timer leverede tilskuerne dygtig verbalakrobatisk støtte til bysbørnene på banen	Jeg var nu faret dygtigt vild, og jeg indså at chancerne for at finde frem til den rigtige adresse var meget små	0
dygtighed	med pragmatiske færdigheder menes dygtighed til at bruge sproget i forhold til den, man taler med, situationen man har sammen	At bedømme og vurdere en diamant kræver en lang uddannelse og stor dygtighed og erfaring	0
dykke	falken kan dykke med en hastighed på op til 300 km i timen og fange sit bytte i flugten	Han svømmede videre, dykkede dybt ned under havoverfladen, steg op igen og svømmede videre på ny	0
dykke	Koncernens omsætning dykkede helt ned til 2065 mio. kr., hvilket er godt 350 millioner mindre end i 1986	Det eksisterende søm dykkes hvorefter et nyt søm slås skråt ind over det gamle	0
dynamik	pianisten mistede koncentrationen, med tilsvarende store mængder slagfejl og overstyret dynamik til følge	holdet skriger efter en ener med dynamik, ideer og autoritet til at få spillet til at hænge sammen	0
dynamit	at reducere rentefradragsreglen uden at gøre noget andet, det er dynamit i sig selv	1896: Alfred Nobel, dynamittens opfinder og stifteren af Nobelprisen, dør i San Remo i Italien, 63 år	0
dynamo	cyklisten .. leverer energi (træder i pedalerne) til dynamoen, der så får lygten til at lyse	Den helt afgørende dynamo bag det økonomiske opsving er de små og mellemstore virksomheder	0
dynd	der aflejres dynd med et stort indhold af udvaskede tungmetaller i alle de danske fjorde	Boligministeren sidder i dynd til halsen i Ungbosagen	0
dyne	Snart kunne man ikke se noget for et tæt lag, en dyne af snehvide lammeskyer	Børnene krøb op i mormors seng. Der var dejlig varmt under dynen	0
dynge	Så måtte vi dynge hele portionen af sprængstof sammen midt på gulvet	ørkenrotterne har den sære uvane, at de dynger deres vandskål til med spåner eller sand	0
dynge	Kæmpestore huse var styrtet sammen. Overalt lå dynger af mursten og cementblokke	politiet dynger bevis på bevis op på de anklagedes deltagelse i tyveri og drab	0
dyr	Som det højest udviklede dyr må mennesket tage ansvar for misbruget af jordens ressourcer	På væggene hang gamle skoletavler af pap med dyr på	0
dyr	En kat er et frit dyr. Den skal kunne gå ind og ud, når det passer den	Proteiner kan man få fra både planter og dyr	1
dyr	i sommerugerne gik dagene med at hakke roer, flytte og fodre dyr og være med til at levere mælk til det lokale mejeri	I 1970erne blev benzinen meget dyr	0
dyrehandler	Jeppe drønede ned til dyrehandleren efter frø : til undulaten	Du kan få din dyrehandler til at vise dig, hvor lange neglene : på marsvinet må være	0
dyrke	Han havde en have på Amager, hvor han dyrkede grøntsager	Godset har flere hundrede tønder land, noget af jorden dyrkes intensivt, noget dyrkes økologisk	0
dyrke	Vi har lige fået nogle nye Macs med supermus og 2mb RAM. Og dyrk lige min ny laserprinter	Det var essensen af Marx og Marcuses lære, som ivrigt blev dyrket på universiteterne i de forskruede 60ere	0
dyrkning	dyrkning af aubergine, peber og melon volder ofte kvaler	Hver familie skulle have et hus og et stykke jord på 4,8 ha til dyrkning	0
dysse ned	Vi prøver ikke at dysse noget ned hverken over for byrådet eller borgerne	Hyyysh, hyyysh -- kvinderne blev dysset ned og gennet ud. Mændene samledes i en stue	0
dårlig	haste-løsninger er næsten altid dårlige løsninger	Levnedsmiddelkontrollen blev alarmeret, da de dårlige champignoner .. pludselig begyndte at svulme op og lugte på grund af den voldsomme bakterieudvikling	0
dårskab	jeg er nået dertil, hvor man går hjemme og pusler med jord og dyr og ryster på hovedet ad ungdommens dårskaber	Flere sportsklubber nægtede at modtage penge, der var frembragt af andres dårskab : ved tipning	0
dåse	Paul .. åbner en dåse koncentreret tomatpuré og hælder indholdet oven i det brunede kød	Sig til morfar, at du godt må få en småkage fra dåsen	0
dæk	På fodgængerbroens dæk er der indrettet butikker mellem søjlerne, der bærer de skæve huse	Hun sad på dækket .. og mærkede vinden og hørte mågerne skrige	0
dæk	slidbanemønsteret skal mindst være 1 mm overalt på dækket	Larmen fra de mange hestekræfter er temmelig gennemtrængende på nederste dæk : på katamaranfærgen	0
dække	Der var ikke nok olie på verdens-markedet til at dække efterspørgslen	Dejen lægges i dejfadet, dækkes med et fugtigt klæde og stilles til hævning	0
dække	et dække af lave skyer var trukket hen under himlen	Under dække af, at Mette frøs på Læsøturen, opnåede Anders at dele seng med hende	0
dække over	han dækker over en flammende lidenskab ved at foregive en almindelig forelskelse	I vil vel ikke dække over en tyv! sagde han vredt. Fortæl mig så, hvem det er!	0
dækkeevne	Skalcem 100 er en indfarvet facademaling med en så stor dækkeevne, at den bogstaveligt talt kan forvandle sort til hvid i én arbejdsgang	Der findes ikke noget krav om deklaration, der kan give brugerne et fingerpeg om en malings dækkeevne og holdbarhed	1
dæknavn	Du må gerne skrive under dæknavn, hvis du ikke vil have dit navn i avisen	Vi går under dæknavnet Dupont &amp	0
dækning	i farten fik Socialdemokratiet stukket synspunkter i skoene, som der ikke er dækning for	så sprang jeg af maskinen og gik i dækning, for jeg havde fået at vide, at det blev en voldsom eksplosion	0
dækningsområde	der er i øjeblikket megen debat om, hvor grænserne for ejerskifteforsikringens dækningsområde bør gå	For hvert land og telefonselskab kan man bl.a. se et landkort, der viser dækningsområdet	0
dæmpe	der skal gøres mere for at dæmpe væksten i forbruget	I koncertsale og i radiostudier må ekko dæmpes med særlig væg- og loftsbeklædning	0
dæmpe	en mørkerød løber dæmpede hendes skridt	I en biograf dæmpes lyset langsomt ned, når filmen skal begynde	1
dæmre	Han rejser sig, kommer op at stå, og finder vej til lyset, der er gråt og dæmrende	Så dæmrede det for Johnny. Nu kunne han godt huske, at han havde hentet en mand på stationen	0
dø	At pleje en døende i hjemmet vil altid være en stor og svær opgave for den pårørende	Pardon! sagde han og bød hende en undskyldende hånd. Hendes vrede døde	0
døbe	Vi rejste hjem med den lille dreng, som blev døbt Henrik	Varevognen er malet sølvgrå, og med vanlig ukuelighed døber hendes far den Sølvpilen	0
død	1980erne blev opløsningens årti mod øst og bragte kommunismens død	Efter Sankt Nikolaos død, blev der bygget en kirke over hans grav	0
dødsdag	de vil formentlig til deres dødsdag hævde, at du ødelagde deres kostbare ferietur	ca. 200 højreekstremister var samlet for at fejre den tidligere svenske konge Karl XIIs dødsdag	0
dødsleje	på sit dødsleje betroede hans adoptivmor den dengang 25-årige Friederich sandheden	den døde skulle ligge seks timer på dødslejet, og lægen skulle iagttage sikre dødstegn	0
dødsrute	myten siger at virkelige rockstjerner konstant er på dødsruten	Niels lokkede Camilla ud på dødsruten. Efter 100 fald opgav Camilla den ækle skisport	0
dødsstød	da han endelig sendte mig et brev, var det for at rette dødsstødet mod vores ægteskab	matadoren .. irriterer tyren til yderligere angreb inden han giver den dødsstødet med sin korte dolk	0
døgn	Hver onsdag bager vi 1500 snegle. Det tager omkring et halvt døgn, fra klokken tre om natten til klokken tre om eftermiddagen	Saturns døgn varer 10 timer og 14 minutter	0
dørplade	Indstukne låse bør kun monteres i dørplader med tilstrækkelige tykkelser. Ellers foretrækkes kasselåse	en beskeden dørplade oplyste, at her boede Vita Harrod	0
døråbner	Her er ingen vinduer, kun en glasdør i hver ende af gangen med automatiske døråbnere	Det var bestemt ikke var nogen god forretning -- isoleret set. Men som døråbner var handelen meget vigtig	0
ecrufarvet	Hertuginde Alexandrines brudekjole var ecrufarvet og ikke hvid	For små penge kunne jeg købe gaver til familien. Man kunne bl.a. erhverve sig de nydeligste lyseduge i ecrufarvet kniplingsmønster	1
effekt	i en brun lædermappe havde han en del effekter, blandt andet bøger og en barbermaskine	kogekanden har en effekt på 1800 watt og slår automatisk fra, når vandet koger	0
efterabe	det værste man kan gøre, det er at efterabe andre og efterligne de forbilleder, som man har	han efterabede hendes fynske sprog og gjorde grin med hendes familie	0
efterforske	Grove sædelighedssager efterforskes af politiets drabsafdeling	Ingen med den familie jeg har vil drømme om at efterforske sin slægtshistorie	0
efterforskning	Dokumentarfilmen baserer sig på russiske journalisters efterforskning	Efter otte dages efterforskning af mordbranden .. anholdt politiet i går en 23-årig mand	0
efterlade	nu skal mit testamente ændres, så du kun kan bortøde halvdelen af den formue, jeg engang efterlader	i afdødes efterladte papirer var det optegnet, at arven skulle bruges til et legat	1
efterladenskab	Du kan oprette et testamente ved at skrive ned, hvordan du vil have dine efterladenskaber fordelt	Lær jeres hund at bruge hundetoiletterne eller saml efterladenskaberne op i en pose og tag det med jer	0
efterlønsbevis	Da Hanne fyldte 60 år midt i juli for fire år siden, var tiden inde til at søge om det nye og stærkt omtalte efterlønsbevis	Hvis man betaler efterlønsbidrag og har været medlem af en a-kasse i 25 år inden for de seneste 30 år, har man ret til et efterlønsbevis, når man fylder 60	1
efterspørgsel	tilførslerne af olie er større end efterspørgslen. Det trykker prisen	under en højkonjunktur skulle staten begrænse efterspørgslen gennem skatteforhøjelser og offentlige besparelser	1
eftersyn	når cyklen blev taget ned fra loftet og blev sat til eftersyn hos cykelsmeden, så var det virkelig forår	Tager man bebyggelsen nøjere i eftersyn, står det hurtigt én klart, at husene har nået reparations-alderen	0
eftertid	Stilen har af eftertiden fået navnet rokoko og er en af de mest populære i Danmark	Myten om Marilyn Monroe som offerlam og sexgudinde er ikke udelukkende skabt i eftertiden	0
efteruddannelse	I 1991 startede vi efteruddannelse af mere end 1.700 ufaglærte medarbejdere	Der vil være et voksende behov for efteruddannelse og omskoling fremover. En én gang fuldført uddannelse kan ikke altid dække hele den erhvervsaktive tilværelse	0
efterår	man kunne tydeligt se, at efteråret var på vej	jeg håbede, at jeg også ville komme til at opleve livets efterår sammen med ham, for han var en mand, som man trygt kunne blive gammel sammen med	0
efterårsvejr	Det blev dog mest efterårsvejr, regn og blæst, så nu hygger min gamle kat (13 år) og jeg os inde	Det har været flot efterårsvejr i dag, og i aften og i nat holder det fortsat tørt	0
eg	på en af de krogede grene i den gamle eg på hjørnet af en skovvej, hopper et rødbrunt egern	Som gave til mor havde han lavet et solidt sybord i eg med snoede ben	0
eje	Over halvdelen af Danmarks familier ejer den bolig, de bor i	Bønderne var frie mænd. De ejede trælle	1
ejendom	bygningerne fra den ejendom dernede blev solgt til sommerhus. Og så beholdt vi jorden	Sælger indestår for, at de på ejendommen værende bygninger og disses installationer ham bekendt er lovlige	1
ejendom	Min far byggede ejendommen Møllevej 4 i 1934	Vaskerierne er kun til brug for ejendommens beboere	1
eksaminere	I ca. en time eksaminerede Krüger mig i Shakespeares indflydelse i andre europæiske lande	de nye biler blev eksamineret på kryds og tværs	0
eksempel	i figurerne 1-6 er vist et eksempel på, hvordan systemet kan anvendes i praksis	Dustin Hoffman og James Woods og flere andre er glimrende eksempler på, at mandlige skuespillere ikke behøver at ligne fotomodeller	1
eksempel	Hvorfor skal der være vin på bordet hver gang? .. Kunne man ikke vise et godt eksempel og nøjes med te, kaffe eller sodavand	Vi er alle sammen ansvarlige for vores børn og eksempler for dem	0
ekshibitionisme	Blottere lider af ekshibitionisme. I den strengt lægelige betydning rammer lidelsen kun mænd	selvfølgelig skal man have en vis portion ekshibitionisme i sig, når man står på en scene og optræder	0
eksklusivaftale	Den lokale SiD-afdeling har måttet acceptere, at der ikke er nogen eksklusivaftale, men total organisationsfrihed	omkring 200 skoledistrikter har lavet eksklusivaftaler med sodavandsfirmaer om at sælge deres, og kun deres produkter i skolen	0
ekspedition	efter 535 dages sejlads fik ekspeditionen Ceylon i sigte	Da jeg var en snes år gammel, opsøgte jeg Lauge Koch og bad om at komme med på hans ekspedition til Grønland	0
ekspeditionskontor	Brevet lå urørt på virksomhedens ekspeditionskontor i flere uger, inden det blev åbnet	folketingssalen .. bliver et rent ekspeditionskontor for EF-Unionen, hvis ikke vi stemmer nej	0
eksperiment	Psykologer har foretaget en række eksperimenter, hvor de har påvist, at en træt hjerne ikke modtager mere viden	De seneste års udvikling har vist, at behandlingen af sindssyge kan gøres til genstand for organisatoriske eksperimenter	0
ekspert	Jordskælvet skyldes ifølge eksperterne en forskydning af jordskorpen i 11 kilometers dybde	Dirch Passer var ekspert i russisk volapyk og sort snak	0
eksplodere	i stærk varme sker det tit, at dækkene eksploderer, og det er en dyr affære	Harper-Taylor eksploderede af raseri. Han gennembankede sin kone og raserede soveværelset	0
eksplosiv	Byernes eksplosive vækst i slutningen af 50erne og i 60erne betød en voldsom omdannelse af mange boligmiljøer	havnearbejdere langer kasserne med granater og andre eksplosiver ned i skibets last-rum	0
eksportforbud	Amerikanske landmænd har længe arbejdet for at få hævet eksportforbuddet mod Cuba	Begge glas blev købt af en nordmand, men Kulturværdiudvalget nedlagde eksportforbud	0
eksportland	USA er påny det førende eksportland efter i tre år at have ligget på andenpladsen efter Vesttyskland	Polen er tæt ved at være vores 10. største eksportland på linie med Østrig og Finland	0
ekstase	Mário gik i ekstase over et stykke med andefedt og gammel dansk ost og sky, overhældt med rom	de kommer i ekstase og optræder som medium for ånden	0
eksteriør	opdrættere : af hunde avler mere på eksteriør end på et godt temperament	Le Corbusier er også at finde i byggeriet, hvor hele eksteriøret fremstår som et detaljerigt post-modernistisk mesterværk	0
el	Den månedlige husleje for en ungdomsbolig på 40 kvm er beregnet til at blive ca. 1.925,- kr. incl. el og varme	De pollenarter, der hyppigst er årsag til allergisk snue er de raklebærende træer: Birk, el og hassel, der blomstrer om foråret fra marts til maj	0
elastik	Tidligere var der en vis elastik i fortolkningen, men det hul er nu lukket	De blomstrede bukser er rummelige og har elastik i taljen	0
elektronik	Skibene bliver udstyret med en masse elektronik, så besætningen kan reduceres ganske betydeligt	gensplejsning omfattes med en opmærksomhed, som hverken var kemiområdet, atomteknologien eller elektronikken til del	0
element	Hvert element måler 230 meter, det er verdensrekord for vejtunnelelementer	blandt indvandrere er der uheldige elementer -- ligesom der er blandt danskere	0
elementbyggeri	Albertslundplanen er .. det første tæt-lave elementbyggeri, der består af 1-etages gårdhuse og 2-etages rækkehuse	mange yngre murere ser spændende udfordringer i elementbyggeriet	0
elendig	Det koster utrolig meget energi hele tiden at være sød og rar, hvis man en dag i virkeligheden er i et elendigt humør	Syge, elendige og med høj feber lå de i to rækker på gulvet	0
elev	Vi spurgte 3 elever i 1. klasse, om de havde for mange lektier for	Han kom som tyveårig i lære som elev her ved Danmarks Radio i Århus	0
eliminere	underskuddet på betalingsbalancen er praktisk taget elimineret	han er dødbringende, han reagerer instinktivt på ethvert angreb og eliminerer fjenden på et halvt sekund	0
elsker	Hun var en stor elsker af Holbergs værker, først og fremmest hans komedier	det er godt og vel tre hundrede år siden, at en dengang kendt Lady Hatton her blev myrdet af en forsmået elsker	0
em	Hjemme som sponsor, og der hviler da også en em af ugeblad over løjerne	Var der en, der fløjtede Tågen letter et sted i emmen fra bruserne	0
emballageglas	Når borgerne skal aflevere emballageglas fra for eksempel sild, sennep og madolie, ender det ofte med, at de bliver smidt i skraldespanden frem for i de dertil indrettede kuber	Og så må keramik og porcelæn, vinduesglas, elpærer og lysstofrør ikke komme i glascontainerne. Det bliver smeltet sammen med emballageglasset , som så ikke kan genbruges	0
emblem	Motivet : på frimærket er en globus samt den egyptiske bogorganisations emblem over en åben bog	Der blev lavet klistermærker til bilruden og et emblem til at sætte på tøjet	0
emme	Køkkenet emmede, og lugten fra kødgryderne blandede sig umiskendeligt med fimsen fra den farende svend	Gitte mumlede, at man trængte til at få luftet ud, hele rummet var emmet til	0
ende	Jeg .. lå og kiggede op i loftet. Det var som én lang nedtur, der aldrig skulle ende	eventyret er vel ikke slut endnu, sagde hun og trak vejret dybt efter at have endt sin lange beretning	0
endelig	Hun er i dyb krise efter det endelige brud med Alan, som hun har levet sammen med i ni år	en endelig beskrivelse vil aldrig kunne beskrive en uendelig verden	0
eneboer	Ofret for drabet, den 66-årige eneboer Evald Jensen .. blev 28. maj fundet død i sin 1. sals lejlighed efter en kraftig brand	De åndelige vejledere var ofte begyndt som eneboere, der .. var vandret hjemmefra	0
ener	The lone ranger, gangsteren og detektiven var alle enere. Komikerne, derimod, dannede par	i weekenden viste den unge nordsjællænder, at han også i ener har roet sig op i verdensklassen	0
ener	Leroy er en underlig maler, en ener i Frankrig, en af de malere, der maler fra udkantsområdet	Liza Minelli er brillant. Hun er en ener. En stjerne	0
energi	Atomkraft er én af de måder et samfund kan skaffe sig den fornødne energi på	Ved nedbrydning af næringsstofferne i de enkelte celler frigøres den kemiske energi, som er bundet i de molekylære bindinger. Energien bliver .. omsat til kropsvarme eller kropsarbejde	0
energi	Er du i psykisk balance, og har du det godt med dig selv, vil din krop være levende og fuld af energi	Jeg læner mig med ryggen op ad et træ, og så lader jeg træets fantastiske grøde, varme og energi gennemstrømme mig	0
energimærke	Nye personbiler, der udbydes til salg, skal fra den 15. april 2000 være forsynet med et energimærke i forruden	Alle køle-svaleskabe skal være energimærket. Apparatets energimærkning er angivet med et bogstav på en skala fra A (godt) til G (dårligt	0
enevælde	Den danske enevælde, der var indført i 1660, skabte .. et billede af monarken som en skikkelse på guddommeligt niveau	jeg forstyrrede undervisningen med mine irrelevante sammenligninger mellem enevælden og nutiden	0
engagement	Hans engagement i kunst, litteratur og musik oversteg langt hans interesse for jobbet	Siden orkestret blev dannet har dets 40 musikere haft flere engagementer, som har trukket et talstærkt publikum til	0
engel	Politikerne er jo hverken engle eller djævle. Men fredelige, sympatiske mennesker	Alle engle er jo kun tjenende ånder, der sendes ud for at hjælpe dem, som skal arve frelsen	0
engelsk	Vi har også Ole i engelsk. Det første, han lærte os, var at sige -- good morning	vi snakker tit engelsk sammen min kæreste og jeg, fordi han ikke er så god til dansk endnu	0
englebarn	Glem alle pyssenyssede forestillinger om yndige, sarte børneværelser til lige så yndige, velopdragne englebørn	julemærkets motiv er glade englebørn, der spiller på trompet, fløjte, klokkespil, trompet og lut	0
enhed	Regeringen har udgjort en enhed, hvad en regering også må	Kroatien siger nu, at det bliver angrebet af enheder fra naborepublikken Serbiens hær	0
enkel	I dag driver han sit eget firma, der har specialiseret sig i enkle og stilrene butiksfacader	Det eneste, der kræves, er, at man overholder de få enkle grundregler	0
enmandshær	Han satte seks mål ind i første halvleg, hvor han nærmest var en enmandshær for Århus GF	Som en administrativ enmandshær var han konstant på rejser rundt i verden for at knytte kontakter, samle oplysninger og lægge pres på regeringer og mæcener	1
ens	Der er ikke to hænder, som er ens	Man har længe brugt kloning til at skabe stribevis af ens planter	1
ensemble	Det kongelige teaters ny skuespilchef .. vil ansætte flere skuespillere -- også stjerner -- til ensemblet, der idag er på 35	Besætningen er .. et enkelt ensemble med bas, trommer og keyboards	0
ensomhed	siden det 4. århundrede har munkene levet i from ensomhed og på streng sultekost	Jeg har forsøgt at komme ud af ensomheden via kontaktannoncer, men uden resultat	0
enspænder	Jeg er i høj grad en enspænder -- det er vel blandt andet derfor, jeg ikke har giftet mig. Tanken om at skulle dele mit liv med et andet menneske er mig imod	Rolf Sørensen har været lidt af en enspænder i dansk cykelsport	0
entrere	FDM entrerer med et dansk udlejningsselskab, der har bilerne stående i Flensborg	Når barnet entrerer hjemmets scene, bliver det hurtigt hovedpersonen, mens forældrene reduceres til statister	0
epidemi	Bulimi er de senere år blevet en epidemi blandt unge piger i den vestlige verden	San Francisco er én af de byer, hvor epidemien af AIDS blandt homoseksuelle satte først ind	0
episode	Først i 70erne fik Gilbert Jensen antaget et manuskript til en episode af tv-serien Huset på Christianshavn	Passageren .. slipper fra den tragiske episode med en sigtelse for medvirken til biltyveri	0
epos	Filmen giver sig tid, kæler for detaljer og er dog et mægtigt fejende epos, klart og rigt, klogt og sødmefuldt, kynisk og bevægende	fordi disse to homeriske Trojadigte : Iliaden og Odysseen er de eneste, der er blevet skriftligt overleveret til os, kan man i vore dage tro, at de satte punktum for det mundtlige epos i Grækenland	0
erfaring	Hvis vinen stadigvæk er god, er det positivt. Er den udrikkelig, ja så er vi blevet en erfaring rigere	Vi har brug for en kontorassistent med erfaring fra et forsikringskontor	0
erhverv	føler du sygeplejegerningen som et erhverv eller som et kald?	Jeg har haft fire forskellige erhverv	1
erhvervsområde	Et sæt generelle bestemmelser om hygiejne og sundhed er gældende inden for alle erhvervsområder	Byrådet har ladet udarbejde et forslag til lokalplan for erhvervsområdet ved Bakkegårdsvej i Humlebæk	0
erhvervssygdom	kronisk bronkitis må betragtes som en erhvervssygdom blandt svejsere, fordi den først og fremmest skyldes giftige kemiske stoffer i svejserøgen	Ufejlbarlighed er en erhvervssygdom hos autoriteter	0
erhvervsudvikling	Vi kan nu .. sikre hele Øresunds-regionen en betydelig del af den erhvervsudvikling, som alle forventer i Østersø-området	erhvervsudviklingen i Hvidovre indgår som et særligt emne i den igangværende kommuneplandebat	0
erindring	man behøvede ikke at tage erindringen eller fantasien til hjælp, hvad sangenes indhold angik	Jeg havde en svag erindring om et hus og udsigten over vand, men jeg vidste ikke, om det fandtes eller ej	0
erkende	Det eneste, jeg ved, det eneste, jeg kan erkende, er, at jég findes	Den sigtede erkendte at have affyret skuddet, men nægtede drabsforsøg	0
